TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:01.61,0.740909090909091,457,-15.5,136.89
00:02.30,0.740909090909091,457,-15.5,147.07
00:03.81,2.15542521994135,-15.5,-15.5,124.87
00:04.53,0.710752688172043,419,-15.5,142.13
00:06.04,2.03323558162268,-15.5,-15.5,122.09
00:06.77,0.686608015640274,420,-15.5,145.01
00:08.28,1.98435972629521,-15.5,-15.5,132.26
00:09.00,0.6544477028348,379,-15.5,147.89
00:10.51,2.05767350928641,-15.5,-15.5,119.32
00:11.24,0.700684261974585,406,-15.5,140.48
00:12.75,1.96480938416422,-15.5,-15.5,123.02
00:13.48,0.674535679374389,411,-15.5,144.6
00:14.99,1.97458455522972,-15.5,-15.5,123.48
00:15.71,0.684604105571847,402,-15.5,142.13
00:17.22,2.01368523949169,-15.5,-15.5,119.78
00:17.95,0.694672531769306,415,-15.5,140.48
00:19.45,1.96969696969697,-15.5,-15.5,122.09
00:20.18,0.676539589442815,417,-15.5,145.01